Ticker;Date;NaN;Close;Price;Open;Last;MA 10;Ownership;Buy;Sell;Cashflow
Mofid.Gold.ETF;06/02/2022;20220206;29177.00;29177;29307.00;29419.00;30291,72727;no;no;no;30.220.000
Mofid.Gold.ETF;07/02/2022;20220207;29423.00;29423;29177.00;29390.00;30199,81818;no;no;no;30.220.000
Mofid.Gold.ETF;08/02/2022;20220208;29003.00;29003;29423.00;29128.00;30015,54545;no;no;no;30.220.000
Mofid.Gold.ETF;09/02/2022;20220209;29235.00;29235;29003.00;29250.00;29890,18182;no;no;no;30.220.000
Mofid.Gold.ETF;12/02/2022;20220212;29950.00;29950;29235.00;29931.00;29804,81818;no;yes;no;-29.950.020
Mofid.Gold.ETF;13/02/2022;20220213;30232.00;30232;29950.00;30193.00;29749,54545;yes;no;no;-29.950.020
Mofid.Gold.ETF;14/02/2022;20220214;30076.00;30076;30232.00;30000.00;29715,90909;yes;no;no;-29.950.020
Mofid.Gold.ETF;16/02/2022;20220216;29939.00;29939;30076.00;29945.00;29690,36364;yes;no;no;-29.950.020
Mofid.Gold.ETF;19/02/2022;20220219;29301.00;29301;29939.00;29540.00;29610;yes;no;yes;29.301.000
Mofid.Gold.ETF;20/02/2022;20220220;29334.00;29334;29301.00;29320.00;29543,36364;no;no;no;29.301.000
Mofid.Gold.ETF;21/02/2022;20220221;29378.00;29378;29334.00;29600.00;29549,81818;no;no;no;29.301.000
Mofid.Gold.ETF;22/02/2022;20220222;29735.00;29735;29378.00;29765.00;29600,54545;no;yes;no;-29.735.020
Mofid.Gold.ETF;23/02/2022;20220223;29626.00;29626;29735.00;29609.00;29619;yes;no;no;-29.735.020
Mofid.Gold.ETF;26/02/2022;20220226;29915.00;29915;29626.00;29860.00;29701,90909;yes;no;no;-29.735.020
Mofid.Gold.ETF;27/02/2022;20220227;29848.00;29848;29915.00;29940.00;29757,63636;yes;no;no;-29.735.020
Mofid.Gold.ETF;28/02/2022;20220228;29965.00;29965;29848.00;30044.00;29759;yes;no;no;-29.735.020
Mofid.Gold.ETF;02/03/2022;20220302;30234.00;30234;29965.00;30245.00;29759,18182;yes;no;no;-29.735.020
Mofid.Gold.ETF;05/03/2022;20220305;29742.00;29742;30234.00;29602.00;29728,81818;yes;no;no;-29.735.020
Mofid.Gold.ETF;06/03/2022;20220306;29546.00;29546;29742.00;29600.00;29693,09091;yes;no;yes;29.546.000
Mofid.Gold.ETF;07/03/2022;20220307;30002.00;30002;29546.00;30140.00;29756,81818;no;yes;no;-30.002.020
Mofid.Gold.ETF;08/03/2022;20220308;30594.00;30594;30002.00;30677.00;29871,36364;yes;no;no;-30.002.020
Mofid.Gold.ETF;09/03/2022;20220309;30602.00;30602;30594.00;30456.00;29982,63636;yes;no;no;-30.002.020
Mofid.Gold.ETF;12/03/2022;20220312;30751.00;30751;30602.00;30700.00;30075;yes;no;no;-30.002.020
Mofid.Gold.ETF;13/03/2022;20220313;31250.00;31250;30751.00;31460.00;30222,63636;yes;no;no;-30.002.020
Mofid.Gold.ETF;14/03/2022;20220314;31013.00;31013;31250.00;30880.00;30322,45455;yes;no;no;-30.002.020
Mofid.Gold.ETF;15/03/2022;20220315;31107.00;31107;31013.00;31250.00;30436,90909;yes;no;no;-30.002.020
Mofid.Gold.ETF;16/03/2022;20220316;30878.00;30878;31107.00;30840.00;30519,90909;yes;no;no;-30.002.020
Mofid.Gold.ETF;19/03/2022;20220319;30527.00;30527;30878.00;30385.00;30546,54545;yes;no;yes;30.527.000
Mofid.Gold.ETF;26/03/2022;20220326;30655.00;30655;30527.00;30870.00;30629,54545;no;yes;no;-30.655.020
Mofid.Gold.ETF;27/03/2022;20220327;30805.00;30805;30655.00;30879.00;30744;yes;no;no;-30.655.020
Mofid.Gold.ETF;28/03/2022;20220328;31021.00;31021;30805.00;31000.00;30836,63636;yes;no;no;-30.655.020
Mofid.Gold.ETF;29/03/2022;20220329;31219.00;31219;31021.00;31500.00;30893,45455;yes;no;no;-30.655.020
Mofid.Gold.ETF;30/03/2022;20220330;31472.00;31472;31219.00;31450.00;30972,54545;yes;no;no;-30.655.020
Mofid.Gold.ETF;03/04/2022;20220403;31386.00;31386;31472.00;31222.00;31030,27273;yes;no;no;-30.655.020
Mofid.Gold.ETF;04/04/2022;20220404;31475.00;31475;31386.00;31640.00;31050,72727;yes;no;no;-30.655.020
Mofid.Gold.ETF;05/04/2022;20220405;31988.00;31988;31475.00;32177.00;31139,36364;yes;no;no;-30.655.020
Mofid.Gold.ETF;06/04/2022;20220406;31912.00;31912;31988.00;32050.00;31212,54545;yes;no;no;-30.655.020
Mofid.Gold.ETF;09/04/2022;20220409;32485.00;32485;31912.00;32709.00;31358,63636;yes;no;no;-30.655.020
Mofid.Gold.ETF;10/04/2022;20220410;33010.00;33010;32485.00;33138.00;31584,36364;yes;no;no;-30.655.020
Mofid.Gold.ETF;11/04/2022;20220411;33557.00;33557;33010.00;33380.00;31848,18182;yes;no;no;-30.655.020
Mofid.Gold.ETF;12/04/2022;20220412;33417.00;33417;33557.00;33280.00;32085,63636;yes;no;no;-30.655.020
Mofid.Gold.ETF;13/04/2022;20220413;32692.00;32692;33417.00;32811.00;32237,54545;yes;no;no;-30.655.020
Mofid.Gold.ETF;16/04/2022;20220416;33141.00;33141;32692.00;33157.00;32412,27273;yes;no;no;-30.655.020
Mofid.Gold.ETF;17/04/2022;20220417;33629.00;33629;33141.00;33519.00;32608,36364;yes;no;no;-30.655.020
Mofid.Gold.ETF;18/04/2022;20220418;33726.00;33726;33629.00;33602.00;32821,09091;yes;no;no;-30.655.020
Mofid.Gold.ETF;19/04/2022;20220419;33296.00;33296;33726.00;33187.00;32986,63636;yes;no;no;-30.655.020
Mofid.Gold.ETF;20/04/2022;20220420;33219.00;33219;33296.00;33370.00;33098,54545;yes;no;no;-30.655.020
Mofid.Gold.ETF;24/04/2022;20220424;33042.00;33042;33219.00;33080.00;33201,27273;yes;no;yes;33.042.000
Mofid.Gold.ETF;25/04/2022;20220425;32824.00;32824;33042.00;32769.00;33232,09091;no;no;no;33.042.000
Mofid.Gold.ETF;26/04/2022;20220426;32943.00;32943;32824.00;33052.00;33226;no;no;no;33.042.000
Mofid.Gold.ETF;27/04/2022;20220427;33149.00;33149;32943.00;33171.00;33188,90909;no;no;no;33.042.000
Mofid.Gold.ETF;30/04/2022;20220430;33156.00;33156;33149.00;33151.00;33165,18182;no;no;no;33.042.000
Mofid.Gold.ETF;01/05/2022;20220501;33138.00;33138;33156.00;33150.00;33205,72727;no;no;no;33.042.000
Mofid.Gold.ETF;02/05/2022;20220502;33070.00;33070;33138.00;33100.00;33199,27273;no;no;no;33.042.000
Mofid.Gold.ETF;07/05/2022;20220507;33712.00;33712;33070.00;33847.00;33206,81818;no;yes;no;-33.712.020
Mofid.Gold.ETF;08/05/2022;20220508;33743.00;33743;33712.00;33649.00;33208,36364;yes;no;no;-33.712.020
Mofid.Gold.ETF;09/05/2022;20220509;33650.00;33650;33743.00;33609.00;33240,54545;yes;no;no;-33.712.020
Mofid.Gold.ETF;10/05/2022;20220510;34031.00;34031;33650.00;34161.00;33314,36364;yes;no;no;-33.712.020
